Sector,Constant,Val,Min Var,Risk Par,Rand
All,0.53698***,-0.11813***,0.11718***,0.1242***,-0.08171***
10,0.43148***,-0.02742.,0.02643.,0.04659**,-0.05423***
15,0.56488***,-0.12209***,0.05855**,0.07853***,-0.0896***
20,0.58424***,0.05783**,0.09958***,0.10498***,-0.09876***
25,0.48468***,-0.09517***,0.02213,0.04222*,-0.07554***
30,0.78149***,0.15089***,0.11848***,0.1381***,-0.12313***
35,0.37142***,0.16917***,0.11164***,0.08953***,-0.05839***
40,0.75977***,-0.38042***,0.04312.,0.07391**,-0.08601***
45,0.47586***,-0.155***,0.03117,0.0416.,-0.06882**
50,0.48865***,-0.049*,0.11114***,0.10748***,-0.07381***
55,1.5937***,-0.38946***,0.26605***,0.26977***,-0.25236***
60,0.8295***,-0.04911.,0.01056,0.05471.,-0.1175***
High,55,35,55,55,10
Low,35,55,60,45,55
Diff,1.2223,0.55863,0.25549,0.22817,0.19813
